Tier,Game,Original price,Now,Saved $,Discount %,Review % positive,Reviews,Review label,Store URL
AAA,Need for Speed™ Heat,$69.99,$6.99,63.0,90,85,52606,positive,https://store.steampowered.com/app/1222680/
AA,Steelrising,$59.99,$5.99,54.0,90,73,1799,positive,https://store.steampowered.com/app/1283400/
AAA,Battlefield™ 2042,$59.99,$5.99,54.0,90,46,106607,mixed,https://store.steampowered.com/app/1517290/
AAA,The Quarry,$52.99,$5.29,47.7,90,83,8179,positive,https://store.steampowered.com/app/1577120/
A,Painkiller: Resurrection,$52.49,$5.24,47.25,90,24,526,negative,https://store.steampowered.com/app/39560/
AA,Ni no Kuni Wrath of the White Witch™ Remastered,$49.99,$7.49,42.5,85,83,2489,positive,https://store.steampowered.com/app/798460/
AA,WRC 10 FIA World Rally Championship,$49.99,$4.99,45.0,90,75,863,positive,https://store.steampowered.com/app/1462810/
AAA,Battlefield™ V,$49.99,$4.99,45.0,90,71,35529,positive,https://store.steampowered.com/app/1238810/
AAA,Marvel's Midnight Suns,$44.99,$6.74,38.25,85,83,11772,positive,https://store.steampowered.com/app/368260/
AAA,Borderlands 3,$44.99,$4.49,40.5,90,81,60236,positive,https://store.steampowered.com/app/397540/
AAA,Assassin's Creed® Origins,$43.99,$6.59,37.4,85,84,36978,positive,https://store.steampowered.com/app/582160/
AAA,Watch_Dogs® 2,$43.99,$2.19,41.8,95,81,27400,positive,https://store.steampowered.com/app/447040/
AAA,Far Cry® 5,$43.99,$6.59,37.4,85,80,70073,positive,https://store.steampowered.com/app/552520/
AAA,Far Cry® 6,$43.99,$4.39,39.6,90,66,12985,mixed,https://store.steampowered.com/app/2369390/
AAA,Watch Dogs®: Legion,$43.99,$6.59,37.4,85,58,4818,mixed,https://store.steampowered.com/app/2239550/
AAA,Nioh: Complete Edition,$41.69,$6.25,35.44,85,80,9132,positive,https://store.steampowered.com/app/485510/
AAA,Golf With Your Friends,$39.99,$3.99,36.0,90,88,37384,positive,https://store.steampowered.com/app/431240/
AAA,STAR WARS Jedi: Fallen Order™,$39.99,$7.99,32.0,80,88,83823,positive,https://store.steampowered.com/app/1172380/
AA,MY HERO ONE'S JUSTICE 2,$39.99,$4.79,35.2,88,87,1655,positive,https://store.steampowered.com/app/1058450/
AAA,Divinity: Original Sin - Enhanced Edition,$39.99,$3.99,36.0,90,86,11851,positive,https://store.steampowered.com/app/373420/
AAA,Battlefield™ 1,$39.99,$3.99,36.0,90,86,46575,positive,https://store.steampowered.com/app/1238840/
AAA,DRAGON BALL XENOVERSE,$39.99,$3.99,36.0,90,85,6944,positive,https://store.steampowered.com/app/323470/
AA,MXGP 2021 - The Official Motocross Videogame,$39.99,$3.99,36.0,90,85,1166,positive,https://store.steampowered.com/app/1610470/
AAA,Battlefield 4™,$39.99,$3.99,36.0,90,83,29556,positive,https://store.steampowered.com/app/1238860/
AA,RIDE 4,$39.99,$5.99,34.0,85,81,2677,positive,https://store.steampowered.com/app/1259980/
AAA,Dying Light 2 Stay Human: Reloaded Edition,$39.99,$7.99,32.0,80,77,69157,positive,https://store.steampowered.com/app/534380/
AA,BLACK CLOVER: QUARTET KNIGHTS,$39.99,$5.19,34.8,87,75,832,positive,https://store.steampowered.com/app/714080/
AAA,Mass Effect™: Andromeda Deluxe Edition,$39.99,$7.99,32.0,80,72,10094,positive,https://store.steampowered.com/app/1238000/
AAA,Battlefield 3™,$39.99,$3.99,36.0,90,70,5459,positive,https://store.steampowered.com/app/1238820/
AA,Hunting Simulator 2,$39.99,$1.99,38.0,95,70,917,positive,https://store.steampowered.com/app/1135910/
AAA,STAR WARS™: Squadrons,$39.99,$3.99,36.0,90,68,19104,mixed,https://store.steampowered.com/app/1222730/
AA,Battlefield™ Hardline,$39.99,$3.99,36.0,90,68,1492,mixed,https://store.steampowered.com/app/1238880/
