Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
Crystal Crisis,100,$8.19,$0.00,81,135,positive,https://store.steampowered.com/app/447700/
Deadshot,100,$3.29,$0.00,100,10,positive,https://store.steampowered.com/app/2484180/
Space Menace,100,$4.69,$0.00,58,39,mixed,https://store.steampowered.com/app/2000040/
Mecha Blade,95,$9.99,$0.49,,,,https://store.steampowered.com/app/2254310/
The Mythical City 2,95,$10.00,$0.50,66,15,mixed,https://store.steampowered.com/app/2999800/
Lasertron,95,$10.25,$0.51,,,,https://store.steampowered.com/app/1488060/
Masked Shooters 2,95,$10.49,$0.52,75,618,positive,https://store.steampowered.com/app/434250/
Masked Shooters,95,$10.49,$0.52,71,139,positive,https://store.steampowered.com/app/603130/
PIZZA WESTERN 🍕,95,$10.49,$0.52,90,10,positive,https://store.steampowered.com/app/3203320/
Stickman Synthwave Escape,95,$10.49,$0.52,75,12,positive,https://store.steampowered.com/app/1994350/
The Red Hood: Hunting the Wolf,95,$10.49,$0.52,72,11,positive,https://store.steampowered.com/app/3238780/
Dangerous Arena,95,$10.49,$0.52,71,14,positive,https://store.steampowered.com/app/2651760/
The Dragoness: Command of the Flame,95,$10.99,$0.54,66,135,mixed,https://store.steampowered.com/app/1413580/
The President,95,$10.99,$0.54,70,10,positive,https://store.steampowered.com/app/1930040/
The Faction,95,$10.99,$0.54,63,11,mixed,https://store.steampowered.com/app/2026280/
Last Generation: Survival,95,$10.99,$0.54,50,20,mixed,https://store.steampowered.com/app/1595600/
Mars Rover Simulator,95,$10.99,$0.54,25,24,negative,https://store.steampowered.com/app/1877360/
Zack 2: Celestine's Map,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1218320/
Only Straight and Up!,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2067030/
Hacker Man,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1957240/
Spyer,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1957560/
The Killer,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1990280/
Rescuer,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1606610/
Military Attack,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2026290/
Combatant,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1702370/
"BattleGrounds : War, Tanks And Nukes",95,$10.99,$0.54,,,,https://store.steampowered.com/app/1703640/
Agent 01,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1932490/
The Tower Of Babel,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2762390/
Decks Of Power,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2216700/
Battlegrounds : The Pirate King,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2907650/
The Ritual,95,$10.99,$0.54,,,,https://store.steampowered.com/app/3122100/
Battlegrounds : At Enemy Gates,95,$10.99,$0.54,,,,https://store.steampowered.com/app/2599320/
The Thief,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1897410/
Obsessive Revenge,95,$10.99,$0.54,,,,https://store.steampowered.com/app/1897430/
Blastforge Breach,95,$12.99,$0.64,87,104,positive,https://store.steampowered.com/app/3706040/
Boom Buddy,95,$12.99,$0.64,83,126,positive,https://store.steampowered.com/app/3630310/
Bombunter,95,$12.99,$0.64,89,106,positive,https://store.steampowered.com/app/3705490/
TurboJoy,95,$12.99,$0.64,93,90,positive,https://store.steampowered.com/app/4162770/
Ammo Bounce,95,$12.99,$0.64,88,86,positive,https://store.steampowered.com/app/4162900/
Run from the Cops!,95,$12.99,$0.64,92,83,positive,https://store.steampowered.com/app/4162960/
Aquabike Rush,95,$12.99,$0.64,91,86,positive,https://store.steampowered.com/app/4163340/
Speed Vortex,95,$12.99,$0.64,92,89,positive,https://store.steampowered.com/app/4164480/
Master of 4 Swords,95,$12.99,$0.64,93,93,positive,https://store.steampowered.com/app/3850520/
Roata Mai,95,$12.99,$0.64,94,87,positive,https://store.steampowered.com/app/3862690/
Flying Tobacco Eggs,95,$12.99,$0.64,84,13,positive,https://store.steampowered.com/app/2999770/
Drift Stunt Racing 2019,95,$12.99,$0.64,70,17,positive,https://store.steampowered.com/app/938600/
Magic Trap,95,$15.99,$0.79,86,23,positive,https://store.steampowered.com/app/2930380/
Falco Totem Destroyer,95,$15.99,$0.79,100,10,positive,https://store.steampowered.com/app/2999760/
In a search of a new home,95,$16.89,$0.84,55,36,mixed,https://store.steampowered.com/app/1284510/
BotMobile,95,$19.99,$0.99,90,11,positive,https://store.steampowered.com/app/2805630/
Wild Animals Transporter,95,$19.99,$0.99,100,18,positive,https://store.steampowered.com/app/2862060/
One Chance,95,$19.99,$0.99,90,11,positive,https://store.steampowered.com/app/2862040/
Fox Golf,95,$19.99,$0.99,86,15,positive,https://store.steampowered.com/app/2833820/
Lunatic Taxi Driver,95,$19.99,$0.99,85,14,positive,https://store.steampowered.com/app/2862030/
Falco Tunes,95,$19.99,$0.99,100,12,positive,https://store.steampowered.com/app/2930390/
Animals vs Animals,95,$19.99,$0.99,78,14,positive,https://store.steampowered.com/app/2805620/
Fight till the End!,95,$19.99,$0.99,66,15,mixed,https://store.steampowered.com/app/2805660/
Desert Special Forces,95,$19.99,$0.99,65,20,mixed,https://store.steampowered.com/app/2805640/
The Great Axe,95,$19.99,$0.99,84,13,positive,https://store.steampowered.com/app/3592340/
Aquarelle,95,$19.99,$0.99,68,19,mixed,https://store.steampowered.com/app/1495580/
Steep™,95,$21.99,$1.09,84,12610,positive,https://store.steampowered.com/app/460920/
Agents of Mayhem,95,$22.99,$1.14,60,1819,mixed,https://store.steampowered.com/app/304530/
Not a Masterpıece,95,$24.99,$1.24,91,12,positive,https://store.steampowered.com/app/2898740/
Space Route,95,$24.99,$1.24,90,11,positive,https://store.steampowered.com/app/2063560/
Crown Wars: The Black Prince,95,$29.99,$1.49,60,502,mixed,https://store.steampowered.com/app/1658920/
Zorro The Chronicles,95,$29.99,$1.49,86,122,positive,https://store.steampowered.com/app/1571460/
EmberStride,95,$29.99,$1.49,91,12,positive,https://store.steampowered.com/app/4043270/
Skullbreaker,95,$29.99,$1.49,92,13,positive,https://store.steampowered.com/app/4052250/
TT Isle Of Man: Ride on the Edge 3,95,$30.99,$1.54,75,691,positive,https://store.steampowered.com/app/1924170/
Last Day of Zombies,95,$31.99,$1.59,,,,https://store.steampowered.com/app/2394600/
Hunting Simulator 2,95,$39.99,$1.99,70,917,positive,https://store.steampowered.com/app/1135910/
Adventures with Alan Parkour 3D,95,$39.99,$1.99,92,13,positive,https://store.steampowered.com/app/2540410/
Watch_Dogs® 2,95,$43.99,$2.19,81,27400,positive,https://store.steampowered.com/app/447040/
SCALEPLANET,95,$44.99,$2.24,100,10,positive,https://store.steampowered.com/app/1922360/
Fly Fly Dragon!,95,$47.43,$2.37,91,12,positive,https://store.steampowered.com/app/2471620/
The Mythical City 4,95,$49.99,$2.49,100,10,positive,https://store.steampowered.com/app/3039350/
Spaceship Driver License,95,$49.99,$2.49,100,11,positive,https://store.steampowered.com/app/2862050/
Zombodesert,95,$49.99,$2.49,91,12,positive,https://store.steampowered.com/app/2864300/
Car Parkour,95,$99.99,$4.99,63,22,mixed,https://store.steampowered.com/app/2374570/
The Hidden Ghost,95,$99.99,$4.99,,,,https://store.steampowered.com/app/1927540/
The Ultimate Shot,95,$99.99,$4.99,,,,https://store.steampowered.com/app/1917740/
